name,type,category,power,accuracy,PP,effect,effectProbability
Skull Bash,Normal,physical,130,100,10,"Raises Defense on first turn, attacks on second.",100
Sky Attack,Flying,physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30
Sky Drop,Flying,physical,60,100,10,"Takes opponent into the air on first turn, drops them on second turn.",—
Sky Uppercut,Fighting,physical,85,90,15,"Hits the opponent, even during Fly.",—
Slack Off,Normal,status,—,—,5,User recovers half its max HP.,—
Slam,Normal,physical,80,75,20,,—
Slash,Normal,physical,70,100,20,High critical hit ratio.,—
Sleep Powder,Grass,status,—,75,15,Puts opponent to sleep.,—
Sleep Talk,Normal,status,—,—,10,User performs one of its own moves while sleeping.,—
Sludge,Poison,special,65,100,20,May poison opponent.,30
Sludge Bomb,Poison,special,90,100,10,May poison opponent.,30
Sludge Wave,Poison,special,95,100,10,May poison opponent.,10
Smack Down,Rock,physical,50,100,15,Makes Flying-type Pokémon vulnerable to Ground moves.,100
Smart Strike,Steel,physical,70,—,10,The user stabs the target with a sharp horn. This attack never misses.,—
Smelling Salts,Normal,physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it.",—
Smog,Poison,special,30,70,20,May poison opponent.,40
Smokescreen,Normal,status,—,100,20,Lowers opponent's Accuracy.,—
Snap Trap,Grass,physical,35,100,15,"Traps opponent, damaging them for 4-5 turns.",100
Snarl,Dark,special,55,95,15,Lowers opponent's Special Attack.,100
Snatch,Dark,status,—,—,10,Steals the effects of the opponent's next move.,—
Snipe Shot,Water,special,80,100,15,Ignores moves and abilities that draw in moves. High critical hit ratio.,—
Snore,Normal,special,50,100,15,Can only be used if asleep. May cause flinching.,30
Snowscape,Ice,status,—,—,10,Raises Defense of Ice types for 5 turns.,—
Soak,Water,status,—,100,20,Changes the target's type to water.,—
Soft-Boiled,Normal,status,—,—,5,User recovers half its max HP.,—
Solar Beam,Grass,special,120,100,10,"Charges on first turn, attacks on second.",—
Solar Blade,Grass,physical,125,100,10,"Charges on first turn, attacks on second.",—
Sonic Boom,Normal,special,—,90,20,Always inflicts 20 HP.,—
Soul-Stealing 7-Star Strike,Ghost,physical,195,—,1,Marshadow-exclusive Z-Move.,—
Spacial Rend,Dragon,special,100,95,5,High critical hit ratio.,—
Spark,Electric,physical,65,100,20,May paralyze opponent.,30
Sparkling Aria,Water,special,90,100,10,Heals the burns of its target.,—
Sparkly Swirl,Fairy,special,90,100,15,Cures all status problems in the party Pokémon.,—
Spectral Thief,Ghost,physical,90,100,10,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",—
Speed Swap,Psychic,status,—,—,10,The user exchanges Speed stats with the target.,—
Spicy Extract,Grass,status,—,∞,15,Harshly lowers the opponent's Defense and sharply raises their Attack.,—
Spider Web,Bug,status,—,—,10,Opponent cannot escape/switch.,—
Spike Cannon,Normal,physical,20,100,15,Hits 2-5 times in one turn.,—
Spikes,Ground,status,—,—,20,Damages opponents switching into battle.,—
Spiky Shield,Grass,status,—,—,10,Protects the user and inflicts damage on contact.,—
Spin Out,Steel,physical,100,100,5,Harshly lowers user’s Speed.,—
Spirit Break,Fairy,physical,75,100,15,Lowers opponent's Special Attack.,100
Spirit Shackle,Ghost,physical,80,100,10,Prevents the opponent from switching out.,—
Spit Up,Normal,special,—,100,10,Power depends on how many times the user performed Stockpile.,—
Spite,Ghost,status,—,100,10,The opponent's last move loses 2-5 PP.,—
Splash,Normal,status,—,—,40,Doesn't do ANYTHING.,—
Splintered Stormshards,Rock,physical,190,—,1,Lycanroc-exclusive Z-Move.,—
Splishy Splash,Water,special,90,100,15,May paralyze opponent.,30
Spore,Grass,status,—,100,15,Puts opponent to sleep.,—
Spotlight,Normal,status,—,—,15,The user shines a spotlight on the target so that only the target will be attacked during the turn.,—
Springtide Storm,Fairy,special,100,80,5,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.",—
Stealth Rock,Rock,status,—,—,20,Damages opponents switching into battle.,—
Steam Eruption,Water,special,110,95,5,May burn opponent.,30
Steamroller,Bug,physical,65,100,20,May cause flinching.,30
Steel Beam,Steel,special,140,95,5,User loses 50% of its HP.,—
Steel Roller,Steel,physical,130,100,5,Fails if no Terrain in effect.,—
Steel Wing,Steel,physical,70,90,25,May raise user's Defense.,10
Sticky Web,Bug,status,—,—,20,Lowers opponent's Speed when switching into battle.,—
Stockpile,Normal,status,—,—,20,Stores energy for use with Spit Up and Swallow.,—
Stoked Sparksurfer,Electric,special,175,—,1,Alolan Raichu-exclusive Electric type Z-Move.,100
Stomp,Normal,physical,65,100,20,May cause flinching.,30
Stomping Tantrum,Ground,physical,75,100,10,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",—
Stone Axe,Rock,physical,65,90,15,Sets up Stealth Rock.,—
Stone Edge,Rock,physical,100,80,5,High critical hit ratio.,—
Stored Power,Psychic,special,20,100,10,Power increases when user's stats have been raised.,—
Storm Throw,Fighting,physical,60,100,10,Always results in a critical hit.,100
Strange Steam,Fairy,special,90,95,10,May confuse opponent.,20
Strength,Normal,physical,80,100,15,,—
Strength Sap,Grass,status,—,100,10,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100
String Shot,Bug,status,—,95,40,Sharply lowers opponent's Speed.,—
Struggle,Normal,physical,50,—,—,Only usable when all PP are gone. Hurts the user.,—
Struggle Bug,Bug,special,50,100,20,Lowers opponent's Special Attack.,100
Stuff Cheeks,Normal,status,—,—,10,"The user eats its held Berry, then sharply raises its Defense stat.",100
Stun Spore,Grass,status,—,75,30,Paralyzes opponent.,—
Submission,Fighting,physical,80,80,20,User receives recoil damage.,—
Substitute,Normal,status,—,—,10,Uses HP to creates a decoy that takes hits.,—
Subzero Slammer,Ice,,—,—,1,Ice type Z-Move.,—
Sucker Punch,Dark,physical,70,100,5,"User attacks first, but only works if opponent is readying an attack.",—
Sunny Day,Fire,status,—,—,5,Makes it sunny for 5 turns.,—
Sunsteel Strike,Steel,physical,100,100,5,Ignores the target's ability.,—
Super Fang,Normal,physical,—,90,10,Always takes off half of the opponent's HP.,—
Supercell Slam,Electric,physical,100,95,15,,—
Superpower,Fighting,physical,120,100,5,Lowers user's Attack and Defense.,100
Supersonic,Normal,status,—,55,20,Confuses opponent.,—
Supersonic Skystrike,Flying,,—,—,1,Flying type Z-Move.,—
Surf,Water,special,90,100,15,Hits all adjacent Pokémon.,—
Surging Strikes,Water,physical,25,100,5,Always results in a critical hit and ignores stat changes.,—
Swagger,Normal,status,—,85,15,"Confuses opponent, but sharply raises its Attack.",—
Swallow,Normal,status,—,—,10,"The more times the user has performed Stockpile, the more HP is recovered.",—
Sweet Kiss,Fairy,status,—,75,10,Confuses opponent.,—
Sweet Scent,Normal,status,—,100,20,Lowers opponent's Evasiveness.,—
Swift,Normal,special,60,∞,20,Ignores Accuracy and Evasiveness.,—
Switcheroo,Dark,status,—,100,10,Swaps held items with the opponent.,—
Swords Dance,Normal,status,—,—,20,Sharply raises user's Attack.,—
Synchronoise,Psychic,special,120,100,10,Hits any Pokémon that shares a type with the user.,—
Synthesis,Grass,status,—,—,5,User recovers HP. Amount varies with the weather.,—
Syrup Bomb,Grass,special,60,85,10,Lowers opponent's Speed each turn for 3 turns.,—
Tachyon Cutter,Steel,special,50,∞,10,Guaranteed to hit twice in a row.,—
Tackle,Normal,physical,40,100,35,,—
Tail Glow,Bug,status,—,—,20,Drastically raises user's Special Attack.,—
Tail Slap,Normal,physical,25,85,10,Hits 2-5 times in one turn.,—
Tail Whip,Normal,status,—,100,30,Lowers opponent's Defense.,—
Tailwind,Flying,status,—,—,15,Doubles Speed for 4 turns.,—
Take Down,Normal,physical,90,85,20,User receives recoil damage.,—
Take Heart,Psychic,status,—,—,10,Heals user's status conditions and raises its stats.,—
Tar Shot,Rock,status,—,100,15,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100
Taunt,Dark,status,—,100,20,Opponent can only use moves that attack.,—
Tearful Look,Normal,status,—,—,20,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100
Teatime,Normal,status,—,—,10,Forces all Pokémon on the field to eat their berries.,—
Techno Blast,Normal,special,120,100,5,Type depends on the Drive being held.,—
Tectonic Rage,Ground,,—,—,1,Ground type Z-Move.,—
Teeter Dance,Normal,status,—,100,20,Confuses all Pokémon.,—
Telekinesis,Psychic,status,—,—,15,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",—
Teleport,Psychic,status,—,—,20,Allows user to flee wild battles; also warps player to last PokéCenter.,—
Temper Flare,Fire,physical,75,100,10,,—
Tera Blast,Normal,special,80,100,10,Changes type when the user has Terastallized.,—
Tera Starstorm,Normal,special,120,100,5,,—
Terrain Pulse,Normal,special,50,100,10,Type and power change depending on the Terrain in effect.,—
Thief,Dark,physical,60,100,25,Also steals opponent's held item.,—
Thousand Arrows,Ground,physical,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.,—
Thousand Waves,Ground,physical,90,100,10,Opponent cannot flee or switch.,—
Thrash,Normal,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,—
Throat Chop,Dark,physical,80,100,15,Prevents use of sound moves for two turns.,100
Thunder,Electric,special,110,70,10,May paralyze opponent.,30
Thunder Cage,Electric,special,80,90,15,"Deals damage and traps opponent, damaging them for 4-5 turns.",—
Thunder Fang,Electric,physical,65,95,15,May cause flinching and/or paralyze opponent.,10
Thunder Punch,Electric,physical,75,100,15,May paralyze opponent.,10
Thunder Shock,Electric,special,40,100,30,May paralyze opponent.,10
Thunder Wave,Electric,status,—,90,20,Paralyzes opponent.,—
Thunderbolt,Electric,special,90,100,15,May paralyze opponent.,10
Thunderclap,Electric,special,70,100,5,Strikes before a target's move.,—
Thunderous Kick,Fighting,physical,90,100,10,Lowers opponent's Defense.,100
Tickle,Normal,status,—,100,20,Lowers opponent's Attack and Defense.,—
Tidy Up,Normal,status,—,—,10,"Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.",—
Topsy-Turvy,Dark,status,—,—,20,Reverses stat changes of opponent.,—
Torch Song,Fire,special,80,100,10,Raises user's Special Attack.,—
Torment,Dark,status,—,100,15,Opponent cannot use the same move in a row.,—
Toxic,Poison,status,—,90,10,Badly poisons opponent.,—
Toxic Spikes,Poison,status,—,—,20,Poisons opponents switching into battle.,—
Toxic Thread,Poison,status,—,100,20,Poisons opponent and lowers its Speed.,100
Trailblaze,Grass,physical,50,100,20,Raises user's Speed.,—
Transform,Normal,status,—,—,10,User takes on the form and attacks of the opponent.,—
Tri Attack,Normal,special,80,100,10,"May paralyze, burn or freeze opponent.",20
Trick,Psychic,status,—,100,10,Swaps held items with the opponent.,—
Trick Room,Psychic,status,—,—,5,Slower Pokémon move first in the turn for 5 turns.,—
Trick-or-Treat,Ghost,status,—,100,20,Adds Ghost type to opponent.,—
Triple Arrows,Fighting,physical,90,100,10,High critical hit ratio. May lower opponent's Defense or cause them to flinch.,—
Triple Axel,Ice,physical,20,90,10,Attacks thrice with more power each time.,—
Triple Dive,Water,physical,30,95,10,Hits 3 times in a row.,—
Triple Kick,Fighting,physical,10,90,10,Hits thrice in one turn at increasing power.,—
Trop Kick,Grass,physical,70,100,15,Lowers opponent's Attack.,100
Trump Card,Normal,special,—,∞,5,"The lower the PP, the higher the power.",—
Twin Beam,Psychic,special,40,100,10,Hits twice in one turn.,—
Twineedle,Bug,physical,25,100,20,Hits twice in one turn. May poison opponent.,20
Twinkle Tackle,Fairy,,—,—,1,Fairy type Z-Move.,—
Twister,Dragon,special,40,100,20,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
U-turn,Bug,physical,70,100,20,User switches out immediately after attacking.,—
Upper Hand,Fighting,physical,65,100,15,Strikes before a target's priority move.,—
Uproar,Normal,special,90,100,10,User attacks for 3 turns and prevents sleep.,—
V-create,Fire,physical,180,95,5,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,Fighting,special,40,100,30,User attacks first.,—
Veevee Volley,Normal,physical,—,∞,20,Power increases when player's bond is stronger.,—
Venom Drench,Poison,status,—,100,20,Lowers poisoned opponent's Special Attack and Speed.,100
Venoshock,Poison,special,65,100,10,Inflicts double damage if the target is poisoned.,—
Victory Dance,Fighting,status,—,—,10,Raises Attack and Defense.,—
Vine Whip,Grass,physical,45,100,25,,—
Vise Grip,Normal,physical,55,100,30,,—
Vital Throw,Fighting,physical,70,∞,10,"User attacks last, but ignores Accuracy and Evasiveness.",—
Volt Switch,Electric,special,70,100,20,User must switch out after attacking.,—
Volt Tackle,Electric,physical,120,100,15,User receives recoil damage. May paralyze opponent.,10
Wake-Up Slap,Fighting,physical,70,100,10,"Power doubles if opponent is asleep, but wakes it up.",—
Water Gun,Water,special,40,100,25,,—
Water Pledge,Water,special,80,100,10,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,—
Water Pulse,Water,special,60,100,20,May confuse opponent.,20
Water Shuriken,Water,special,15,100,20,Hits 2-5 times in one turn.,—
Water Sport,Water,status,—,—,15,Weakens the power of Fire-type moves.,—
Water Spout,Water,special,150,100,5,"The higher the user's HP, the higher the damage caused.",—
Waterfall,Water,physical,80,100,15,May cause flinching.,20
Wave Crash,Water,physical,120,100,10,User receives recoil damage.,—
Weather Ball,Normal,special,50,100,10,Move's power and type changes with the weather.,—
Whirlpool,Water,special,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
Whirlwind,Normal,status,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Wicked Blow,Dark,physical,75,100,5,Always results in a critical hit and ignores stat changes.,—
Wicked Torque,Dark,physical,80,100,10,May put opponent to sleep.,—
Wide Guard,Rock,status,—,—,10,Protects the user's team from multi-target attacks.,—
Wild Charge,Electric,physical,90,100,15,User receives recoil damage.,—
Wildbolt Storm,Electric,special,100,80,10,May paralyze target.,—
Will-O-Wisp,Fire,status,—,85,15,Burns opponent.,—
Wing Attack,Flying,physical,60,100,35,,—
Wish,Normal,status,—,—,10,The user recovers HP in the following turn.,—
Withdraw,Water,status,—,—,40,Raises user's Defense.,—
Wonder Room,Psychic,status,—,—,10,Swaps every Pokémon's Defense and Special Defense for 5 turns.,—
Wood Hammer,Grass,physical,120,100,15,User receives recoil damage.,—
Work Up,Normal,status,—,—,30,Raises user's Attack and Special Attack.,—
Worry Seed,Grass,status,—,100,10,Changes the opponent's Ability to Insomnia.,—
Wrap,Normal,physical,15,90,20,"Traps opponent, damaging them for 4-5 turns.",100
Wring Out,Normal,special,—,100,5,"The higher the opponent's HP, the higher the damage.",—
X-Scissor,Bug,physical,80,100,15,,—
Yawn,Normal,status,—,—,10,Puts opponent to sleep in the next turn.,—
Zap Cannon,Electric,special,120,50,5,Paralyzes opponent.,100
Zen Headbutt,Psychic,physical,80,90,15,May cause flinching.,20
Zing Zap,Electric,physical,80,100,10,May cause flinching.,30
Zippy Zap,Electric,physical,50,100,15,Always results in a critical hit.,100
